record_id,Title,Authors,Publication_Venue,Year,Abstract,DOI
acm_00231,Dense Retrieval via Social Networks,"A. Kovacs, E. Ferreira, N. Zhang, P. White",IEEE Transactions on Knowledge and Data Engineering,2015,We present a novel approach for dense retrieval via social networks. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1231/tkde.2015.00231
acm_00003,Efficient Relation Extraction at Scale,"S. Fischer, Y. Müller, S. Cohen, S. Chen",Int. Conf. on Extending Database Technology,2003,This work addresses the problem of efficient relation extraction at scale. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1003/edbt.2003.00003
acm_00406,Time Series Forecasting for Heterogeneous Sources,"Y. Müller, S. Chen, R. Rossi",Int. Joint Conf. on Artificial Intelligence,2022,This work addresses the problem of time series forecasting for heterogeneous sources. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1406/ijcai.2022.00406
acm_00230,A Generative Framework for Text Classification,"M. Brown, T. Dubois, A. Thompson",ACM Int. Conf. on Web Search and Data Mining,2014,This work addresses the problem of a generative framework for text classification. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1230/wsdm.2014.00230
acm_00360,Query Processing: A Scalable Approach,J. Smith,Proc. VLDB Endowment,2000,This work addresses the problem of query processing: a scalable approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1360/vldb.2000.00360
acm_00126,Time Series Forecasting via Heterogeneous Sources,"Y. Müller, S. Chen, R. Rossi",ACM SIGKDD Conf. on Knowledge Discovery and Data Mining,2006,"In this paper, we propose time series forecasting via heterogeneous sources. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1126/kdd.2006.00126
acm_00140,A Scalable Framework for Federated Learning,T. Dubois,ACM Int. Conf. on Web Search and Data Mining,2020,We present a novel approach for a scalable framework for federated learning. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1140/wsdm.2020.00140
acm_00139,Anomaly Detection: Challenges and Opportunities,"F. Patel, P. Thomas, J. Hernandez, J. Martinez",Int. World Wide Web Conference,2019,We present a novel approach for anomaly detection: challenges and opportunities. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1139/www.2019.00139
acm_00018,Joint Approximate Nearest Neighbour at Scale,"R. Rossi, J. Martinez, W. Silva",ACM SIGIR Conf. on Research and Development in IR,2018,We present a novel approach for joint approximate nearest neighbour at scale. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1018/sigir.2018.00018
acm_00357,Column Stores: From Theory to Practice,"O. O'Brien, M. Petrov",Artificial Intelligence,2021,We study the problem of column stores: from theory to practice. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1357/aij.2021.00357
acm_00377,Towards Hybrid Sentiment Analysis,"J. Hernandez, M. Petrov",Int. Conf. on Information and Knowledge Management,2017,This work addresses the problem of towards hybrid sentiment analysis. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1377/cikm.2017.00377
acm_00395,A Adaptive Framework for Weak Supervision,"P. Kumar, M. Brown, M. Nguyen, T. Dubois",IEEE Int. Conf. on Data Mining,2011,"In this paper, we propose a adaptive framework for weak supervision. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1395/icdm.2011.00395
acm_00297,Sentiment Analysis: From Theory to Practice,"J. Hernandez, M. Petrov",Artificial Intelligence,2009,"In this paper, we propose sentiment analysis: from theory to practice. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1297/aij.2009.00297
acm_00446,Robust Time Series Forecasting for Heterogeneous Sources,"Y. Müller, S. Chen, R. Rossi",Journal of Machine Learning Research,2014,This work addresses the problem of robust time series forecasting for heterogeneous sources. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1446/jmlr.2014.00446
acm_00165,Collaborative Filtering: A Context-Aware Approach,"E. Kim, A. Thompson",AAAI Conf. on Artificial Intelligence,2021,This work addresses the problem of collaborative filtering: a context-aware approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1165/aaai.2021.00165
acm_00029,Information Extraction Over Streaming Data,"L. Garcia, R. Rossi",Knowledge and Information Systems,2005,We study the problem of information extraction over streaming data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1029/kais.2005.00029
acm_00223,Learning-Based LSH Hashing,"R. Wang, Y. Müller, L. Garcia, S. Chen",Conf. on Empirical Methods in Natural Language Processing,2007,"In this paper, we propose learning-based lsh hashing. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1223/emnlp.2007.00223
acm_00147,Entity Resolution: From Theory to Practice,"A. Lee, D. Nakamura, M. Harris, W. Silva",Artificial Intelligence,2003,We present a novel approach for entity resolution: from theory to practice. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1147/aij.2003.00147
acm_00490,Stream Processing with Generative Constraints,"A. Thompson, T. Dubois, M. Brown",Int. Conf. on Learning Representations,2010,We present a novel approach for stream processing with generative constraints. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1490/iclr.2010.00490
acm_00399,Duplicate Detection in the Wild,"A. Sharma, P. Thomas, O. O'Brien, J. Martinez",Int. Conf. on Machine Learning,2015,We present a novel approach for duplicate detection in the wild. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1399/icml.2015.00399
acm_00378,Joint Approximate Nearest Neighbour at Scale,"R. Rossi, J. Martinez, W. Silva",ACM SIGIR Conf. on Research and Development in IR,2017,We present a novel approach for joint approximate nearest neighbour at scale. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1378/sigir.2018.00378
acm_00157,Improving Column Stores with Hybrid Models,"O. O'Brien, M. Petrov",SIAM Int. Conf. on Data Mining,2013,We study the problem of improving column stores with hybrid models. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1157/sdm.2013.00157
acm_00335,A Adaptive Framework for Knowledge Graph Embedding,"E. Anderson, M. Brown, E. Kim, T. Dubois",IEEE Int. Conf. on Data Mining,2023,We present a novel approach for a adaptive framework for knowledge graph embedding. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1335/icdm.2023.00335
acm_00210,Stream Processing: A Generative Approach,"A. Thompson, T. Dubois, M. Brown",Proc. VLDB Endowment,2018,We present a novel approach for stream processing: a generative approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1210/vldb.2018.00210
acm_00044,Topic Modelling Over Web Data,P. White,North American Chapter of the ACL,2020,This work addresses the problem of topic modelling over web data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1044/naacl.2020.00044
acm_00121,Schema Matching for Financial Transactions,"A. Lee, A. Wilson",ACM SIGMOD Int. Conf. Management of Data,2001,"In this paper, we propose schema matching for financial transactions. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1121/sigmod.2001.00121
acm_00478,Learning-Based Causal Inference,"P. Thomas, J. Martinez, M. Petrov",Data Mining and Knowledge Discovery,2022,"In this paper, we propose learning-based causal inference. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1478/dmkd.2022.00478
acm_00050,A Generative Framework for Stream Processing,"A. Thompson, T. Dubois, M. Brown",ACM Int. Conf. on Web Search and Data Mining,2002,We present a novel approach for a generative framework for stream processing. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1050/wsdm.2002.00050
acm_00325,Collaborative Filtering with Context-Aware Constraints,"E. Kim, A. Thompson",Information Systems,2013,We introduce a new method for collaborative filtering with context-aware constraints. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1325/is.2013.00325
acm_00260,A Scalable Framework for Federated Learning,T. Dubois,ACM Int. Conf. on Web Search and Data Mining,2020,We present a novel approach for a scalable framework for federated learning. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1260/wsdm.2020.00260
acm_00041,Robust Schema Matching for Financial Transactions,"A. Lee, A. Wilson",IEEE/CVF Conf. Computer Vision and Pattern Recognition,2017,"In this paper, we propose robust schema matching for financial transactions. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1041/cvpr.2017.00041
acm_00105,Explainable AI: A Context-Aware Approach,"M. Nguyen, A. Thompson",AAAI Conf. on Artificial Intelligence,2008,We present a novel approach for explainable ai: a context-aware approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1105/aaai.2009.00105
acm_00072,Matrix Factorisation: From Theory to Practice,D. Taylor,Annual Meeting of the Association for Computational Linguistics,2000,This work addresses the problem of matrix factorisation: from theory to practice. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1072/acl.2000.00072
acm_00396,Bloom Filters via Spatial Data,J. Martinez,ACM SIGKDD Conf. on Knowledge Discovery and Data Mining,2012,We present a novel approach for bloom filters via spatial data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1396/kdd.2012.00396
acm_00401,Robust Schema Matching for Financial Transactions,"A. Lee, A. Wilson",CVPR,2017,"In this paper, we propose robust schema matching for financial transactions. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1401/cvpr.2017.00401
acm_00411,Truth Discovery via Social Networks,"I. Okonkwo, E. Ferreira, N. Johansson, P. White",IEEE Transactions on Knowledge and Data Engineering,2003,We study the problem of truth discovery via social networks. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1411/tkde.2003.00411
acm_00094,Data Integration: Challenges and Opportunities,"W. Silva, D. Nakamura, A. Wilson",ACM Symposium on Principles of Database Systems,2022,This work addresses the problem of data integration: challenges and opportunities. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1094/pods.2022.00094
acm_00030,Text Classification: A Generative Approach,"M. Brown, T. Dubois, A. Thompson",Proc. VLDB Endowment,2006,We present a novel approach for text classification: a generative approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1030/vldb.2006.00030
acm_00000,Query Processing: A Scalable Approach,J. Smith,Proc. VLDB Endowment,2000,This work addresses the problem of query processing: a scalable approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1000/vldb.2000.00000
acm_00244,Topic Modelling: Challenges and Opportunities,P. White,ACM Symposium on Principles of Database Systems,2004,"In this paper, we propose topic modelling: challenges and opportunities. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1244/pods.2004.00244
acm_00332,Towards Probabilistic Data Cleaning,S. Chen,IEEE Int. Conf. on Data Engineering,2020,We study the problem of towards probabilistic data cleaning. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1332/icde.2020.00332
acm_00466,Data Profiling for Heterogeneous Sources,"R. Yamamoto, S. Chen, P. Thomas",Int. Joint Conf. on Artificial Intelligence,2010,We introduce a new method for data profiling for heterogeneous sources. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1466/ijcai.2010.00466
acm_00256,Named Entity Recognition for Spatial Data,C. Deng,Int. Joint Conf. on Artificial Intelligence,2016,"In this paper, we propose named entity recognition for spatial data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1256/ijcai.2016.00256
acm_00179,Anomaly Detection Over Open Government Data,"F. Patel, P. Thomas, J. Hernandez, J. Martinez",Knowledge and Information Systems,2010,We present a novel approach for anomaly detection over open government data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1179/kais.2011.00179
acm_00036,Bloom Filters via Spatial Data,J. Martinez,ACM SIGKDD Conf. on Knowledge Discovery and Data Mining,2012,We present a novel approach for bloom filters via spatial data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1036/kdd.2012.00036
acm_00462,Data Augmentation: From Theory to Practice,"E. Ferreira, P. White, R. Yamamoto",Annual Meeting of the Association for Computational Linguistics,2006,We introduce a new method for data augmentation: from theory to practice. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1462/acl.2006.00462
acm_00432,Matrix Factorisation: From Theory to Practice,D. Taylor,ACL,2000,This work addresses the problem of matrix factorisation: from theory to practice. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1432/acl.2000.00432
acm_00257,Towards Hybrid Sentiment Analysis,"J. Hernandez, M. Petrov",Int. Conf. on Information and Knowledge Management,2018,This work addresses the problem of towards hybrid sentiment analysis. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1257/cikm.2017.00257
acm_00203,Efficient Relation Extraction: A Survey,"S. Fischer, Y. Müller, S. Cohen, S. Chen",ACM Transactions on Knowledge Discovery from Data,2011,We study the problem of efficient relation extraction: a survey. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1203/tkdd.2011.00203
acm_00022,Improving Data Augmentation with Parallel Models,"E. Ferreira, P. White, R. Yamamoto",ACM Transactions on Database Systems,2022,We introduce a new method for improving data augmentation with parallel models. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1022/tods.2022.00022
acm_00397,Improving Column Stores with Hybrid Models,"O. O'Brien, M. Petrov",SIAM Int. Conf. on Data Mining,2013,We study the problem of improving column stores with hybrid models. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1397/sdm.2013.00397
acm_00429,Information Extraction in the Wild,"L. Garcia, R. Rossi",Int. Conf. on Machine Learning,2021,We present a novel approach for information extraction in the wild. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1429/icml.2021.00429
acm_00191,Robust Dense Retrieval for Socila Networks,"A. Kovacs, E. Ferreira, N. Zhang, P. White",IEEE/CVF Conf. Computer Vision and Pattern Recognition,2023,"In this paper, we propose robust dense retrieval for social networks. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1191/cvpr.2023.00191
acm_00026,Robust Data Profiling for Heterogeneous Sources,"R. Yamamoto, S. Chen, P. Thomas",Journal of Machine Learning Research,2002,"In this paper, we propose robust data profiling for heterogeneous sources. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1026/jmlr.2002.00026
acm_00246,Time Series Forecasting via Heterogeneous Sources,"Y. Müller, S. Chen, R. Rossi",ACM SIGKDD Conf. on Knowledge Discovery and Data Mining,2006,"In this paper, we propose time series forecasting via heterogeneous sources. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1246/kdd.2006.00246
acm_00440,A Scalable Framework for Query Processing,J. Smith,ACM Int. Conf. on Web Search and Data Mining,2008,This work addresses the problem of a scalable framework for query processing. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1440/wsdm.2008.00440
acm_00214,Data Integration: Challenges and Opportunities,"W. Silva, D. Nakamura, A. Wilson",ACM Symposium on Principles of Database Systems,2022,This work addresses the problem of data integration: challenges and opportunities. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1214/pods.2022.00214
acm_00196,Bloom Filters for Spatial Data,J. Martinez,Int. Joint Conf. on Artificial Intelligence,2004,We introduce a new method for bloom filters for spatial data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1196/ijcai.2004.00196
acm_00270,Text Classification: A Generative Approach,"M. Brown, T. Dubois, A. Thompson",Proc. VLDB Endowment,2007,We present a novel approach for text classification: a generative approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1270/vldb.2006.00270
acm_00119,Duplicate Detection Over Open Government Data,"A. Sharma, P. Thomas, O. O'Brien, J. Martinez",Knowledge and Information Systems,2023,We introduce a new method for duplicate detection over open government data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1119/kais.2023.00119
acm_00365,A Context-Aware Framework for Collaborative Filtering,"E. Kim, A. Thompson",IEEE Int. Conf. on Data Mining,2005,"In this paper, we propose a context-aware framework for collaborative filtering. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1365/icdm.2005.00365
acm_00384,Data Fusion in the Wild,K. Johnson,The VLDB Journal,2000,This work addresses the problem of data fusion in the wild. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1384/vldbj.2000.00384
acm_00074,Contrastive Learning Over IoT Sensor Data,"M. Petrov, D. Nakamura, E. Ferreira",North American Chapter of the ACL,2002,We study the problem of contrastive learning over iot sensor data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1074/naacl.2002.00074
acm_00238,Learning-Based Cauasl Inference,"P. Thomas, J. Martinez, M. Petrov",Data Mining and Knowledge Discovery,2022,"In this paper, we propose learning-based causal inference. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1238/dmkd.2022.00238
acm_00078,Joint Causal Inference at Scale,"P. Thomas, J. Martinez, M. Petrov",ACM SIGIR Conf. on Research and Development in IR,2006,We present a novel approach for joint causal inference at scale. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1078/sigir.2006.00078
acm_00177,Sentiment Analysis: From Theory to Practice,"J. Hernandez, M. Petrov",AIJ,2009,"In this paper, we propose sentiment analysis: from theory to practice. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1177/aij.2009.00177
acm_00138,Joint Approximate Nearest Neighbour at Scale,"R. Rossi, J. Martinez, W. Silva",ACM SIGIR Conf. on Research and Development in IR,2018,We present a novel approach for joint approximate nearest neighbour at scale. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1138/sigir.2018.00138
acm_00420,Federated Learning: A Scalable Approach,T. Dubois,Proc. VLDB Endowment,2012,"In this paper, we propose federated learning: a scalable approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1420/vldb.2012.00420
acm_00045,Collaborative Filtering: A Context-Aware Approach,"E. Kim, A. Thompson",AAAI Conf. on Artificial Intelligence,2021,This work addresses the problem of collaborative filtering: a context-aware approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1045/aaai.2021.00045
acm_00093,Discriminative Data Wrangling at Scale,"N. Zhang, R. Yamamoto",Int. Conf. on Extending Database Technology,2021,We introduce a new method for discriminative data wrangling at scale. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1093/edbt.2021.00093
acm_00499,Anomaly Detection: Challenges and Opportunities,"F. Patel, P. Thomas, J. Hernandez, J. Martinez",Int. World Wide Web Conference,2019,We present a novel approach for anomaly detection: challenges and opportunities. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1499/www.2019.00499
acm_00285,Collaborative Filtering: A Context-Aware Approach,"E. Kim, A. Thompson",AAAI Conf. on Artificial Intelligence,2021,This work addresses the problem of collaborative filtering: a context-aware approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1285/aaai.2021.00285
acm_00068,Multi-Source Record Linkage: A Survey,D. Nakamura,Advances in Neural Information Processing Systems,2020,We study the problem of multi-source record linkage: a survey. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1068/neurips.2020.00068
acm_00361,Schema Matching for Finanical Transactions,"A. Lee, A. Wilson",ACM SIGMOD Int. Conf. Management of Data,2001,"In this paper, we propose schema matching for financial transactions. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1361/sigmod.2001.00361
acm_00024,Data Fusion in the Wild,K. Johnson,The VLDB Journal,2000,This work addresses the problem of data fusion in the wild. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1024/vldbj.2000.00024
acm_00427,Improving Entity Resolution with Semi-Supervised Models,"M. Harris, W. Silva, A. Lee, D. Nakamura",SIAM Int. Conf. on Data Mining,2020,We present a novel approach for improving entity resolution with semi-supervised models. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1427/sdm.2019.00427
acm_00475,Weak Supervision with Adaptive Constraints,"P. Kumar, M. Brown, M. Nguyen, T. Dubois",Information Systems,2019,We study the problem of weak supervision with adaptive constraints. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1475/is.2019.00475
acm_00310,Text Classification with Generative Constraints,"M. Brown, T. Dubois, A. Thompson",Int. Conf. on Learning Representations,2022,We present a novel approach for text classification with generative constraints. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1310/iclr.2022.00310
acm_00313,Learning-Based Differential Privacy,"N. Johansson, R. Yamamoto",Conf. on Empirical Methods in Natural Language Processing,2001,This work addresses the problem of learning-based differential privacy. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1313/emnlp.2001.00313
acm_00136,Named Entity Recognition for Spatial Data,C. Deng,Int. Joint Conf. on Artificial Intelligence,2016,"In this paper, we propose named entity recognition for spatial data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1136/ijcai.2016.00136
acm_00295,Knowledge Graph Embedding with Adaptive Constraints,"E. Anderson, M. Brown, E. Kim, T. Dubois",Information Systems,2008,"In this paper, we propose knowledge graph embedding with adaptive constraints. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1295/is.2007.00295
acm_00417,Sentiment Analysis: From Theory to Practice,"J. Hernandez, M. Petrov",Artificial Intelligence,2009,"In this paper, we propose sentiment analysis: from theory to practice. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1417/aij.2009.00417
acm_00163,Learning-Based Relation Extraction,"S. Fischer, Y. Müller, S. Cohen, S. Chen",Conf. on Empirical Methods in Natural Language Processing,2019,This work addresses the problem of learning-based relation extraction. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1163/emnlp.2019.00163
acm_00006,Time Series Forecasting via Heterogeneous Sources,"Y. Müller, S. Chen, R. Rossi",ACM SIGKDD Conf. on Knowledge Discovery and Data Mining,2006,"In this paper, we propose time series forecasting via heterogeneous sources. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1006/kdd.2006.00006
acm_00193,Learning-Based Differential Privacy,"N. Johansson, R. Yamamoto",Conf. on Empirical Methods in Natural Language Processing,2001,This work addresses the problem of learning-based differential privacy. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1193/emnlp.2001.00193
acm_00437,Towards Hybrid Column Stores,"O. O'Brien, M. Petrov",Int. Conf. on Information and Knowledge Management,2005,"In this paper, we propose towards hybrid column stores. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1437/cikm.2005.00437
acm_00247,Improving Transfer Learning with Semi-Supervised Models,"L. Li, W. Silva, G. Jackson, D. Nakamura",SIAM Int. Conf. on Data Mining,2007,We present a novel approach for improving transfer learning with semi-supervised models. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1247/sdm.2007.00247
acm_00001,Schema Matching for Financial Transactions,"A. Lee, A. Wilson",ACM SIGMOD Int. Conf. Management of Data,2001,"In this paper, we propose schema matching for financial transactions. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1001/sigmod.2001.00001
acm_00195,Weak Supervision: A Adaptive Approach,"P. Kumar, M. Brown, M. Nguyen, T. Dubois",AAAI Conf. on Artificial Intelligence,2003,We study the problem of weak supervision: a adaptive approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1195/aaai.2003.00195
acm_00221,Robust Self-Supervised Learning for Financial Transactions,"G. Jackson, A. Wilson",IEEE/CVF Conf. Computer Vision and Pattern Recognition,2005,We study the problem of robust self-supervised learning for financial transactions. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1221/cvpr.2005.00221
acm_00114,Contrastive Learning in the Wild,"M. Petrov, D. Nakamura, E. Ferreira",VLDBJ,2018,This work addresses the problem of contrastive learning in the wild. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1114/vldbj.2018.00114
acm_00356,Robust Bloom Filters for Spatial Data,J. Martinez,Journal of Machine Learning Research,2020,"In this paper, we propose robust bloom filters for spatial data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1356/jmlr.2020.00356
acm_00340,Federated Learning with Scalable Constraints,T. Dubois,Int. Conf. on Learning Representations,2004,"In this paper, we propose federated learning with scalable constraints. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1340/iclr.2004.00340
acm_00013,Learning-Based Data Wrangling,"N. Zhang, R. Yamamoto",Conf. on Empirical Methods in Natural Language Processing,2013,This work addresses the problem of learning-based data wrangling. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1013/emnlp.2013.00013
acm_00207,Transfer Learning: From Theory to Practice,"L. Li, W. Silva, G. Jackson, D. Nakamura",Artificial Intelligence,2015,"In this paper, we propose transfer learning: from theory to practice. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1207/aij.2015.00207
acm_00131,Robust Truth Discovery for Social Networks,"I. Okonkwo, E. Ferreira, N. Johansson, P. White",IEEE/CVF Conf. Computer Vision and Pattern Recognition,2011,We study the problem of robust truth discovery for social networks. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1131/cvpr.2011.00131
acm_00423,Efficient LSH Hashing at Scale,"R. Wang, Y. Müller, L. Garcia, S. Chen",Int. Conf. on Extending Database Technology,2015,This work addresses the problem of efficient lsh hashing at scale. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1423/edbt.2015.00423
acm_00056,Robust Named Entity Recognition for Spatial Data,C. Deng,Journal of Machine Learning Research,2008,We study the problem of robust named entity recognition for spatial data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1056/jmlr.2008.00056
acm_00090,Stream Processing: A Generative Approach,"A. Thompson, T. Dubois, M. Brown",Proc. VLDB Endowment,2018,We present a novel approach for stream processing: a generative approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1090/vldb.2018.00090
acm_00301,Self-Supervised Learning for Financial Transactions,"G. Jackson, A. Wilson",ACM SIGMOD Int. Conf. Management of Data,2013,We present a novel approach for self-supervised learning for financial transactions. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1301/sigmod.2013.00301
acm_00350,A Generative Framework for Text Classification,"M. Brown, T. Dubois, A. Thompson",ACM Int. Conf. on Web Search and Data Mining,2014,This work addresses the problem of a generative framework for text classification. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1350/wsdm.2014.00350
acm_00065,A Context-Aware Framework for Explainable AI,"M. Nguyen, A. Thompson",ICDM,2017,This work addresses the problem of a context-aware framework for explainable ai. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1065/icdm.2017.00065
acm_00176,Robust Named Entity Recognition for Spatial Data,C. Deng,Journal of Machine Learning Research,2008,We study the problem of robust named entity recognition for spatial data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1176/jmlr.2008.00176
acm_00315,Weak Supervision: A Adaptive Approach,"P. Kumar, M. Brown, M. Nguyen, T. Dubois",AAAI Conf. on Artificial Intelligence,2003,We study the problem of weak supervision: a adaptive approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1315/aaai.2003.00315
